Resume_ID,Branch,Specialization,CGPA,Extracted_Keywords,Job_Role,Match_Percentage
R00104,Electrical,Embedded Systems,7.04,"Docker, CI/CD, Kubernetes, AWS, Terraform",DevOps Engineer,97
R00105,Electrical,Power Systems,8.08,"C++, ARM, RTOS",Embedded Engineer,100
R00106,Electrical,Embedded Systems,7.17,"Automation Testing, Manual Testing, Selenium, JUnit",QA Engineer,84
R00107,Information Technology,Data Analytics,7.67,"Stakeholder Management, Agile, Roadmap Planning",Product Manager,69
R00108,Electrical,Embedded Systems,7.41,"CSS, JavaScript, HTML, Redux, React",Frontend Developer,80
R00109,Data Science,Business Analytics,8.27,"Docker, Node.js, Express.js, React",Full Stack Developer,83
R00110,Electronics,IoT & Cloud Systems,9.16,"REST APIs, Microservices, Java, Spring Boot, SQL",Backend Developer,70
R00111,Computer Science,Artificial Intelligence,7.58,"IoT, C++, RTOS, ARM",Embedded Engineer,75
R00112,Electronics,IoT & Cloud Systems,9.58,"React, CSS, Redux, JavaScript",Frontend Developer,83
R00113,Electrical,Power Systems,9.43,"CI/CD, Kubernetes, Terraform, AWS, Docker",DevOps Engineer,66
R00114,Information Technology,Human-Computer Interaction,7.42,"SIEM, Firewalls, Network Security",Cybersecurity Analyst,80
R00115,Information Technology,Data Analytics,7.89,"GCP, Kubernetes, Azure",Cloud Engineer,92
R00116,Artificial Intelligence,Deep Learning,8.79,"Content Marketing, AdWords, SEO",Digital Marketing Exec,71
R00117,Mechanical,Automation,7.88,"Hugging Face, Python, NLP",NLP Engineer,67
R00118,Information Technology,Data Analytics,7.66,"Tableau, Data Visualization, Excel, SQL",Data Analyst,77
R00119,Artificial Intelligence,Natural Language Processing,8.92,"Power BI, Tableau, SQL",Data Analyst,90
R00120,Electrical,Control Systems,7.24,"ARM, IoT, Embedded Systems",Embedded Engineer,76
R00121,Civil,Construction Management,7.45,"GCP, Azure, Kubernetes",Cloud Engineer,74
R00122,Information Technology,Data Analytics,9.13,"React, JavaScript, Redux, CSS",Frontend Developer,88
R00123,Data Science,Data Engineering,9.2,"Agile, Stakeholder Management, Scrum, Roadmap Planning",Product Manager,77
R00124,Electronics,IoT & Cloud Systems,8.11,"Machine Learning, Python, SQL, TensorFlow",Data Scientist,100
R00125,Electronics,Embedded Systems,7.12,"RTOS, Embedded Systems, IoT, C++",Embedded Engineer,80
R00126,Electronics,IoT & Cloud Systems,9.74,"Spring Boot, Java, Microservices, SQL",Backend Developer,83
R00127,Data Science,Business Analytics,8.59,"AWS, Terraform, CI/CD, Docker, Kubernetes",DevOps Engineer,89
R00128,Data Science,Business Analytics,8.35,"HTML, Redux, React, JavaScript, CSS",Frontend Developer,84
R00129,Computer Science,Machine Learning,9.52,"Azure, Kubernetes, AWS",Cloud Engineer,100
R00130,Civil,Structural Engineering,8.45,"JUnit, Selenium, Automation Testing, Manual Testing",QA Engineer,93
R00131,Data Science,Data Engineering,7.27,"Prototyping, Wireframing, Figma, UI/UX Design",UI/UX Designer,94
R00132,MBA (Tech Mgmt),Operations Management,7.08,"Azure, AWS, Kubernetes",Cloud Engineer,68
R00133,Electrical,Power Systems,7.47,"Docker, MongoDB, Express.js, React, Node.js",Full Stack Developer,70
R00134,Information Technology,Data Analytics,7.04,"Figma, Wireframing, Prototyping, UI/UX Design, User Research",UI/UX Designer,82
R00135,MBA (Tech Mgmt),Operations Management,8.25,"Power BI, SQL, Tableau, Excel",Data Analyst,91
R00136,Information Technology,Software Engineering,9.69,"GCP, Cloud Security, AWS",Cloud Engineer,81
R00137,Electrical,Power Systems,9.0,"GCP, AWS, Cloud Security",Cloud Engineer,88
R00138,MBA (Tech Mgmt),Product Management,7.03,"React, CSS, Redux",Frontend Developer,66
R00139,Data Science,Big Data,8.04,"AWS, Kubernetes, Azure, Cloud Security",Cloud Engineer,97
R00140,Electronics,VLSI Design,8.43,"Redux, HTML, JavaScript, CSS",Frontend Developer,80
R00141,MBA (Tech Mgmt),Product Management,7.98,"SQL, Microservices, Spring Boot, Java",Backend Developer,79
R00142,Data Science,Big Data,9.6,"Kubernetes, CI/CD, AWS",DevOps Engineer,99
R00143,Civil,Construction Management,9.77,"Ethical Hacking, SIEM, Firewalls, Penetration Testing",Cybersecurity Analyst,67
R00144,Electronics,IoT & Cloud Systems,9.43,"AdWords, SEO, Google Analytics, Content Marketing",Digital Marketing Exec,72
R00145,Civil,Construction Management,7.91,"Power BI, Excel, Tableau",Data Analyst,96
R00146,MBA (Tech Mgmt),Product Management,9.1,"Docker, Node.js, React, Express.js, MongoDB",Full Stack Developer,93
R00147,Electrical,Power Systems,7.46,"SQL, TensorFlow, Python, Statistics, Machine Learning",Data Scientist,89
R00148,Data Science,Business Analytics,8.38,"Prototyping, Wireframing, User Research, Figma",UI/UX Designer,76
R00149,Electrical,Power Systems,9.25,"Google Analytics, AdWords, SEO",Digital Marketing Exec,75
R00150,Civil,Structural Engineering,9.09,"Prototyping, User Research, Figma, UI/UX Design, Wireframing",UI/UX Designer,98
R00151,Computer Science,Cloud Computing,7.75,"Manual Testing, Automation Testing, JUnit",QA Engineer,97
R00152,Data Science,Business Analytics,7.47,"UI/UX Design, Wireframing, Prototyping, Figma, User Research",UI/UX Designer,95
R00153,MBA (Tech Mgmt),Product Management,9.67,"MongoDB, React, Express.js",Full Stack Developer,83
R00154,Electronics,VLSI Design,8.3,"Selenium, Manual Testing, Automation Testing, JUnit",QA Engineer,86
R00155,Data Science,Business Analytics,8.29,"CI/CD, AWS, Docker, Kubernetes",DevOps Engineer,79
R00156,Mechanical,Automation,7.64,"Firewalls, SIEM, Network Security, Ethical Hacking, Penetration Testing",Cybersecurity Analyst,99
R00157,Computer Science,Artificial Intelligence,9.17,"JUnit, Automation Testing, Selenium",QA Engineer,96
R00158,Civil,Structural Engineering,7.85,"Wireframing, Prototyping, Figma, User Research",UI/UX Designer,74
R00159,Information Technology,Human-Computer Interaction,7.82,"RTOS, C++, ARM",Embedded Engineer,85
R00160,Computer Science,Cloud Computing,7.88,"Stakeholder Management, Agile, Scrum",Product Manager,99
R00161,Artificial Intelligence,Deep Learning,7.19,"JavaScript, HTML, CSS, React, Redux",Frontend Developer,100
R00162,Information Technology,Software Engineering,8.33,"SQL, REST APIs, Spring Boot, Java",Backend Developer,89
R00163,Civil,Structural Engineering,9.31,"Embedded Systems, RTOS, IoT, ARM, C++",Embedded Engineer,80
R00164,Civil,Structural Engineering,7.5,"Roadmap Planning, Stakeholder Management, Agile",Product Manager,70
R00165,Electronics,VLSI Design,7.38,"Kubernetes, AWS, Docker, CI/CD, Terraform",DevOps Engineer,73
R00166,Electrical,Power Systems,7.4,"SQL, Machine Learning, TensorFlow",Data Scientist,72
R00167,Data Science,Data Engineering,8.36,"TensorFlow, SQL, Machine Learning",Data Scientist,66
R00168,Mechanical,Automation,7.31,"SQL, Excel, Data Visualization",Data Analyst,86
R00169,Electrical,Control Systems,9.08,"Express.js, MongoDB, Node.js",Full Stack Developer,72
R00170,Electrical,Power Systems,8.43,"Prototyping, Wireframing, UI/UX Design",UI/UX Designer,98
R00171,Electronics,Embedded Systems,9.61,"Manual Testing, Selenium, JUnit",QA Engineer,96
R00172,Electrical,Embedded Systems,9.58,"Microservices, Spring Boot, REST APIs, Java",Backend Developer,72
R00173,Computer Science,Software Engineering,9.67,"Transformers, Python, Text Mining, NLP",NLP Engineer,93
R00174,Civil,Structural Engineering,7.01,"React, Express.js, Docker",Full Stack Developer,69
R00175,Artificial Intelligence,Deep Learning,7.99,"Terraform, Docker, AWS",DevOps Engineer,72
R00176,Computer Science,Cybersecurity,7.34,"AWS, Cloud Security, GCP, Azure",Cloud Engineer,67
R00177,Computer Science,Web Development,8.47,"REST APIs, Spring Boot, SQL",Backend Developer,97
R00178,Civil,Structural Engineering,8.98,"React, JavaScript, Redux, HTML, CSS",Frontend Developer,70
R00179,Electronics,VLSI Design,7.38,"C++, IoT, Embedded Systems, ARM, RTOS",Embedded Engineer,99
R00180,Electronics,Embedded Systems,8.78,"Roadmap Planning, Stakeholder Management, Scrum, Agile",Product Manager,67
R00181,Electrical,Embedded Systems,9.07,"Docker, Terraform, AWS",DevOps Engineer,73
R00182,Data Science,Business Analytics,7.82,"Kubernetes, GCP, AWS, Azure, Cloud Security",Cloud Engineer,97
R00183,Electronics,VLSI Design,9.0,"Kubernetes, AWS, Azure, GCP, Cloud Security",Cloud Engineer,77
R00184,Mechanical,Robotics,9.05,"UI/UX Design, Wireframing, User Research",UI/UX Designer,90
R00185,Civil,Construction Management,8.72,"Penetration Testing, SIEM, Firewalls",Cybersecurity Analyst,96
R00186,Civil,Construction Management,9.02,"Stakeholder Management, Scrum, Roadmap Planning",Product Manager,81
R00187,Data Science,Big Data,7.45,"IoT, C++, ARM",Embedded Engineer,82
R00188,Data Science,Big Data,9.74,"Java, Spring Boot, REST APIs, Microservices",Backend Developer,82
R00189,Electronics,VLSI Design,8.11,"AWS, GCP, Kubernetes, Azure, Cloud Security",Cloud Engineer,90
R00190,Mechanical,Product Design,7.81,"Prototyping, UI/UX Design, User Research",UI/UX Designer,93
R00191,Electronics,VLSI Design,8.63,"Express.js, Node.js, Docker",Full Stack Developer,65
R00192,Artificial Intelligence,Computer Vision,7.32,"Hugging Face, Transformers, Text Mining",NLP Engineer,65
R00193,Data Science,Business Analytics,9.36,"Docker, CI/CD, Terraform",DevOps Engineer,74
R00194,MBA (Tech Mgmt),Product Management,8.61,"Roadmap Planning, Agile, Stakeholder Management, Scrum",Product Manager,65
R00195,Mechanical,Automation,7.08,"UI/UX Design, Wireframing, User Research",UI/UX Designer,76
R00196,Artificial Intelligence,Natural Language Processing,8.61,"Azure, Cloud Security, GCP, AWS",Cloud Engineer,72
R00197,Civil,Construction Management,8.49,"JUnit, Selenium, Manual Testing, Automation Testing",QA Engineer,91
R00198,Information Technology,Web Development,7.81,"Kubernetes, AWS, Docker, Terraform",DevOps Engineer,88
R00199,MBA (Tech Mgmt),Product Management,7.81,"Statistics, Machine Learning, TensorFlow, Python, SQL",Data Scientist,67
R00200,Electrical,Embedded Systems,8.6,"ARM, RTOS, IoT",Embedded Engineer,94
R00201,Civil,Construction Management,8.87,"Kubernetes, AWS, GCP, Cloud Security, Azure",Cloud Engineer,76
R00202,Electrical,Power Systems,7.54,"Tableau, Excel, Data Visualization, Power BI, SQL",Data Analyst,88
R00203,MBA (Tech Mgmt),Digital Business,7.3,"Node.js, React, Docker, MongoDB",Full Stack Developer,85
R00204,Computer Science,Web Development,9.52,"AWS, Terraform, Kubernetes",DevOps Engineer,74
R00205,Electronics,VLSI Design,8.11,"Scrum, Roadmap Planning, Agile, Stakeholder Management",Product Manager,86
R00206,Mechanical,Product Design,7.3,"Selenium, JUnit, Automation Testing, Manual Testing",QA Engineer,93
R00207,Mechanical,Automation,8.35,"AWS, Kubernetes, Terraform, CI/CD, Docker",DevOps Engineer,68
R00208,Data Science,Data Engineering,9.55,"ARM, IoT, RTOS, Embedded Systems, C++",Embedded Engineer,89
R00209,Information Technology,Software Engineering,8.85,"AWS, Cloud Security, Azure",Cloud Engineer,73
R00210,Mechanical,Product Design,9.26,"Azure, Kubernetes, GCP",Cloud Engineer,91
R00211,Electronics,VLSI Design,9.51,"SQL, Java, REST APIs, Microservices, Spring Boot",Backend Developer,67
R00212,Information Technology,Web Development,8.97,"IoT, RTOS, C++, Embedded Systems, ARM",Embedded Engineer,73
R00213,Data Science,Business Analytics,9.32,"Embedded Systems, RTOS, C++, IoT",Embedded Engineer,88
R00214,Civil,Structural Engineering,9.72,"Spring Boot, Microservices, REST APIs, SQL, Java",Backend Developer,71
R00215,Data Science,Business Analytics,8.52,"Tableau, Excel, Data Visualization, SQL",Data Analyst,99
R00216,Civil,Structural Engineering,7.26,"Selenium, Manual Testing, Automation Testing, JUnit",QA Engineer,68
R00217,Civil,Construction Management,8.3,"Docker, Kubernetes, Terraform",DevOps Engineer,73
R00218,Computer Science,Machine Learning,7.71,"Manual Testing, Selenium, JUnit, Automation Testing",QA Engineer,94
R00219,Artificial Intelligence,Computer Vision,7.59,"Node.js, MongoDB, Docker, React",Full Stack Developer,86
R00220,MBA (Tech Mgmt),Product Management,8.49,"JUnit, Automation Testing, Manual Testing",QA Engineer,65
R00221,Electronics,IoT & Cloud Systems,8.03,"UI/UX Design, User Research, Wireframing",UI/UX Designer,81
R00222,Data Science,Data Engineering,7.67,"Java, REST APIs, SQL, Microservices",Backend Developer,74
R00223,Electronics,VLSI Design,9.51,"Automation Testing, Selenium, Manual Testing, JUnit",QA Engineer,65
R00224,Electronics,VLSI Design,9.16,"Spring Boot, REST APIs, Java, SQL, Microservices",Backend Developer,92
R00225,Electronics,IoT & Cloud Systems,7.0,"Manual Testing, Automation Testing, JUnit",QA Engineer,93
R00226,Mechanical,Product Design,9.46,"Hugging Face, Python, Transformers",NLP Engineer,81
R00227,Artificial Intelligence,Natural Language Processing,9.39,"Manual Testing, Selenium, Automation Testing, JUnit",QA Engineer,74
R00228,Electrical,Control Systems,8.68,"Manual Testing, Selenium, JUnit, Automation Testing",QA Engineer,75
R00229,Electrical,Control Systems,9.02,"Python, SQL, Machine Learning, Statistics",Data Scientist,86
R00230,Civil,Construction Management,8.37,"CSS, Redux, HTML, React, JavaScript",Frontend Developer,77
R00231,Electronics,IoT & Cloud Systems,7.98,"TensorFlow, SQL, Machine Learning",Data Scientist,86
R00232,Civil,Construction Management,8.95,"Selenium, Automation Testing, JUnit",QA Engineer,98
R00233,Civil,Construction Management,8.74,"Manual Testing, JUnit, Automation Testing",QA Engineer,78
R00234,Data Science,Data Engineering,9.07,"GCP, Cloud Security, AWS, Azure",Cloud Engineer,79
R00235,Data Science,Big Data,8.15,"Spring Boot, Microservices, SQL, REST APIs, Java",Backend Developer,92
R00236,Artificial Intelligence,Computer Vision,7.01,"Google Analytics, SEO, AdWords",Digital Marketing Exec,93
R00237,Artificial Intelligence,Computer Vision,8.12,"Java, SQL, Spring Boot",Backend Developer,80
R00238,MBA (Tech Mgmt),Digital Business,9.54,"HTML, Redux, React, JavaScript, CSS",Frontend Developer,81
R00239,Electrical,Power Systems,9.29,"Kubernetes, Azure, GCP, AWS",Cloud Engineer,82
R00240,Electrical,Control Systems,9.28,"Penetration Testing, Firewalls, SIEM",Cybersecurity Analyst,97
R00241,MBA (Tech Mgmt),Digital Business,9.23,"Docker, AWS, Terraform",DevOps Engineer,85
R00242,Electronics,Embedded Systems,7.2,"Automation Testing, JUnit, Manual Testing",QA Engineer,86
R00243,Information Technology,Web Development,8.61,"Terraform, Kubernetes, AWS, CI/CD, Docker",DevOps Engineer,94
R00244,MBA (Tech Mgmt),Digital Business,8.18,"Wireframing, Figma, User Research, Prototyping",UI/UX Designer,98
R00245,Computer Science,Software Engineering,9.15,"RTOS, Embedded Systems, C++",Embedded Engineer,71
R00246,Electrical,Power Systems,7.35,"Docker, Express.js, MongoDB, React, Node.js",Full Stack Developer,87
R00247,Artificial Intelligence,Deep Learning,8.71,"SQL, REST APIs, Java, Microservices, Spring Boot",Backend Developer,89
R00248,Computer Science,Software Engineering,8.78,"Penetration Testing, Firewalls, Ethical Hacking, Network Security",Cybersecurity Analyst,100
R00249,MBA (Tech Mgmt),Operations Management,7.16,"Spring Boot, Microservices, REST APIs, SQL, Java",Backend Developer,99
R00250,Electronics,VLSI Design,7.86,"UI/UX Design, Wireframing, User Research, Prototyping",UI/UX Designer,74
R00251,Data Science,Data Engineering,9.8,"TensorFlow, Machine Learning, SQL, Statistics, Python",Data Scientist,81
R00252,MBA (Tech Mgmt),Digital Business,7.59,"Scrum, Stakeholder Management, Roadmap Planning, Agile",Product Manager,67
R00253,Electronics,Embedded Systems,8.17,"Prototyping, UI/UX Design, Wireframing, User Research",UI/UX Designer,74
R00254,Artificial Intelligence,Deep Learning,9.52,"SQL, Tableau, Power BI",Data Analyst,67
R00255,Mechanical,Automation,9.5,"Text Mining, Python, NLP, Hugging Face",NLP Engineer,66
R00256,Computer Science,Cybersecurity,8.15,"Firewalls, Network Security, SIEM, Penetration Testing",Cybersecurity Analyst,68
R00257,Artificial Intelligence,Deep Learning,9.71,"HTML, JavaScript, CSS, Redux, React",Frontend Developer,67
R00258,Computer Science,Machine Learning,9.76,"Power BI, Data Visualization, Excel, Tableau",Data Analyst,80
R00259,Civil,Construction Management,8.09,"Data Visualization, SQL, Excel, Tableau",Data Analyst,89
R00260,Data Science,Big Data,8.94,"Node.js, Docker, MongoDB",Full Stack Developer,88
